sample_id
HG02015
HG02129
HG02523
HG02630
HG02642
HG02647
HG02661
HG02676
HG02683
HG02717
HG02735
HG02738
HG02841
HG02984
HG03052
HG03225
HG03258
HG03270
HG03271
HG03343
HG03366
HG03369
HG03388
HG03432
HG03445
HG03453
