sample_id,filename,filetype,path,total_gbp,coverage,n50
HG00258,HG00258_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00258_r10-hifiasm-correct.ec.ont.fq.gz,215.048,65.17,84552
HG00272,HG00272_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00272_r10-hifiasm-correct.ec.ont.fq.gz,212.498,64.39,84504
HG00280,HG00280_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00280_r10-hifiasm-correct.ec.ont.fq.gz,224.518,68.04,114012
HG00290,HG00290_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00290_r10-hifiasm-correct.ec.ont.fq.gz,293.624,88.98,82134
HG00320,HG00320_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00320_r10-hifiasm-correct.ec.ont.fq.gz,244.578,74.11,87496
HG00321,HG00321_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00321_r10-hifiasm-correct.ec.ont.fq.gz,239.467,72.57,77478
HG00323,HG00323_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00323_r10-hifiasm-correct.ec.ont.fq.gz,266.772,80.84,81608
HG00329,HG00329_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00329_r10-hifiasm-correct.ec.ont.fq.gz,274.745,83.26,69358
HG00344,HG00344_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00344_r10-hifiasm-correct.ec.ont.fq.gz,159.056,48.2,101343
HG00350,HG00350_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00350_r10-hifiasm-correct.ec.ont.fq.gz,243.621,73.82,81661
HG00355,HG00355_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00355_r10-hifiasm-correct.ec.ont.fq.gz,185.501,56.21,105551
HG00375,HG00375_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00375_r10-hifiasm-correct.ec.ont.fq.gz,187.516,56.82,121361
HG00408,HG00408_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00408_r10-hifiasm-correct.ec.ont.fq.gz,147.588,44.72,115566
HG00423,HG00423_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00423_r10-hifiasm-correct.ec.ont.fq.gz,143.308,43.43,122699
HG00438,HG00438_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00438_r10-hifiasm-correct.ec.ont.fq.gz,208.979,63.33,93088
HG00544,HG00544_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00544_r10-hifiasm-correct.ec.ont.fq.gz,153.832,46.62,106405
HG00558,HG00558_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00558_r10-hifiasm-correct.ec.ont.fq.gz,193.266,58.57,95281
HG00580,HG00580_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00580_r10-hifiasm-correct.ec.ont.fq.gz,168.656,51.11,100951
HG00584,HG00584_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00584_r10-hifiasm-correct.ec.ont.fq.gz,178.741,54.16,123610
HG00597,HG00597_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00597_r10-hifiasm-correct.ec.ont.fq.gz,201.26,60.99,110908
